document_id,Cleaned_Review,sentiment
88,Fight Club directed David Fincher star Edward Norton Brad Pitt Helena Bonham Carter Meat Loaf Jared Leto Edward Nortons character known Narrator living depressing life His day job behind desk accompanies buying thing doesnt really need order find fulfillment life He begin attending support group condition doesnt order feel relief expressing pain worseOnce Bonham Carters character Marla Singer begin showing meeting begin feel remorse life However meet cool guy Tyler Durden Pitt along Tyler start fight club place men seek fulfillment may find beating Once thing Tyler Marla begin get bit shaky Narrator must fix problem without help othersIts rare find film completely love everything In humble opinion however Fight Club easily one best film ever made With eerie direction fantastic acting compelling character Fight Club close get perfect issue found The flawless script contributes liking movie due amazing dialogue great detail upon current settingIf anyone ever read script Fight Club shy page magnificently impressive The detail script go purely astounding line written performed perfectly The script written Jim Uhls based novel Chuck Palahniuk incredibly written near every way great depth depiction shot set actor perform linesThe direction David Fincher exemplary great camera angle surprisingly memorable shot The shot I remember particularly Tyler Durden delivering final rule fight club eighth camera zoom side face passing head spinning quickly next shot two men fighting Every single shot like one mentioned brilliant excellently pulled FincherThe character combined talented acting behind also unique Although Narrator supposed boring everyday man viewer care situation deeply Throughout film break fourth wall multiple time add personal level caring entire run time film Norton play character wonderfully thanks great acting ability The character Tyler Durden easily one best coolest character ever put film Every line Pitt delivers Tyler flawless deserves recognition character actor could ever receiveThe character Bonham Carters Marla Meat Loafs Bob Jared Letos Angel Face also amazing The audience quickly sympathizes everybody film thanks great acting dialogue Once script line written delivered flawlessly actor giving line ideally Each character well rounded great arc throughout run time Fight ClubThe pacing Fight Club also astounding An almost hour minute film go story told minute fly quickly This mostly due quick yet detailed script fantastic direction Both Fincher Uhls make movie zoom time gone Each actor also contribute aspect ultimately making film feel shortThe last thing Ill mention plot twist Without spoiling anything Fight Club one best plot twist film history Everything throughout film set twist yet audience dont pick clue watching film first time Fight Club rare type film contains better experience watching second time watching first The twist perfectly built flawlessly executed every wayOverall Fight Club one favorite film time I like say one best movie ever made Id recommend Fight Club anyone handle violence language truly worth anyones time,Positive
89,The first rule Fight Club talk Fight ClubI go ahead break rule simply talk Fight Club film I recently added favorite movie list In opinion one Finchers masterpiece along Seen David Fincher made great film none ever rivaled work two film Both Seen Fight Club among favorite film consider superior Finchers great recent film like Zodiac The Curious Case Benjamin Button The Social Network The Girl With Dragon Tattoo Fight Club extremely violent film I dont think gratuitous movie really work satire raise several philosophical question enslaved weve become capitalist advertising system also point danger anarchy well Weve become materialist being finding purpose possession left spiritual part Sometimes need feel pain remind alive way film work highly crafted metaphor I loved way story presented surrealistic film worked Based Chuck Palahniuks novel name adapted screen Jim Uhls Fight Club masterpiece thanks Finchers direction performance excellent cast includes Edward Norton Brad Pitt Helen Bonham Carter I really loved movie beginning end including twist final act year great twist considering The Sixth Sense released well time favorite film Fight Club must see film allThe movie begin scene narrator Edward Norton gun forced throat Tyler Durden Brad Pitt narrator begin tell viewer led point voice narration film told flashback He take u back day office worker experienced severe insomniac problem The doctor recommended visit support group men suffered testicular cancer order really see pain people gone Despite suffering condition narrator decides discovers going therapy allows finally able sleep first time month After decides attend different support group every night everything seems go well discovers manic depressive woman named Marla Singer Helena Bonham Carter thing he jumping one support group another Seeing intruder liar narrator longer find peace support group insomniac problem begin His life change dramatically meet Tyler Durden soap maker airplane interesting conversation They exchange number narrator arrives home airport discovers condo blown He decides call Tyler end moving old abandoned complex The two start different support group call Fight Club since fight one another The movement becomes popular little little begin form revolutionary movement known Project Mayhem thing begin escalate fast dangerouslyEdward Norton appeared big movie screen made best film American History X Primal Fear The People v Larry Flynt Rounders Fight Club although I would argue best performance American History X The th Hour However still excellent film well Brad Pitt best playing sort chaotic anarchic character way similar narrator others different dangerous He strong pull Nortons character influence deeply Helena Bonham Carter also play one best role sort manicdepressive character stand ground mostly male dominated film The performance cast one best thing Fight Club work every level The visuals special effect also fantastic It dark film lot violence mixed satire laughing quite bit I absolutely loved movie ending brillianthttpestebuenoblogspotcom,Positive
90,Twenty year ago Back director made « weird » movie appeal teenager needed everything Even thing didnt know needed Today Fight Club got stale And rest « trend » look like master piece subtle writing compared I tried rewatching movie night chore I already knew ending twist plus I forgot chatty drawn script Everything used « cool » movie outdated nonsensical For example scene « hero » blackmail bos It wouldnt work today much technology But ever If I remember correctly surveillance camera existed back So even possible pull Thats I rated low It wasnt bad movie back It isnt working outside scope Also acting bit time Especially Brad Pitts And none character remotely likeable let alone redeemable,Negative
91,I wont spoil plot I say Fight Club guy like fight hold barred Im action movie buff I thought might fun cartoony I like Jackie Chan Arnold Schwarzenegger etc But I hated filmThe violence real awful There lot pretentious art crap Brad Pitt appearing brief flicker time film similar war film whose sole purpose show horror war Ive got enough problem without psychological trauma thank muchPlus character incredibly unbelievable When fight someone real life real damage human reaction go hospital think ow ow ow ow think Id better stop fighting No These guy eat turn hobby Thats psychopathicWho see film film school type go crazy blast watching blood action movie type strong lack empathy suffering And stay away daughterSorry least Ive stated intelligent reason giving Fight Club worstoftheworst,Negative
92,POSSIBLE SPOILERS The premise lonely aimless soul attending cancer therapy group AA meeting might savagely funny done right badly executed first minute taken Ed Norton droning literary voice I know cinematic masterwork like APOCALYPSE NOW used voice THE DUKES OF HAZZARD likely work buffoon genius The theme male grief alienation back lash consumerism badly developedFIGHT CLUB good part like scene member cover car park bird seed pigeon shit new car film unworthy praise lavished upon large section IMDB voter I imagine year old male loving film Id shocked didnt anyone else who old enough mature critical view able recognise one extremely overlong overrated one trick pony As metaphysical twist ending doesnt make sense brings whole proceeding The narrator beating Yeah right If FIGHT CLUB masterpiece supposed come virtually ignored Oscars one weakest year film long time,Negative
93,Fight Club adrenaline rush film A movie take twist around test limit leaf stunned It incredibly dark comedy inspired satire around great filmAs film open taken body Narrator credited good reason arrive looking barrel gun jammed mouth The Narrator played Edward Norton performance full much sarcasm Kevin Spacey better start watching back Here Norton prof one best actor appearing film today His role tricky one pull easily seems like child playThe gun held Tyler Durden played Brad Pitt also pull tricky performance Pitt good actor unfortunately cursed sexsymbol status therefore taken seriously Here though show actorShortly learn building throughout city wired explode minute As explained given spectacular special effect sequence camera swoop side highrise pass street garage building van right explosive device The film us effect time film good effectWith setup film flash back Narrator bit insomnia His job tedious stuff apartment doesnt seem nice anymore go support group sleep night He nice thing going another tourist show one support group She Marla played fun strange sadness Helena Bonham CarterNow insomnia reappears traveling work excessively happens meet Tyler airplane They talk bit Narrator intrigued When return home find pile rubble blown building His decision call Tyler They drink asks stay Tylers place convincing something strange happens Tyler asks Narrator hit Thus unofficial start Fight ClubFrom movie center club gradually knocked level begin realize Tylers philosophy really effect Narrator membersDavid Fincher explored dark side human nature Seven directs film high style never dull shot film He prof visionary director I sure many opportunity bring vision screenIt often film able capture time perfectly Earlier year South Park Bigger Longer Uncut able satirize censorship issue Now come Fight Club film Generation X corporate America brutally honest You leave theater knowing Tylers action extreme anarchistic something word speak anyone fed degree way society Fight Club film worthy multiple viewing The first time visual experience The next time something deeper appears By third time already havent see intelligent friend discus issue film deal lot,Positive
94,Just fact men drool film tend react angrily I convey negative opinion Fight Club prof film fails deliver new important idea also encourages mainstream male marketing plan Be angry violent masculine straight selfish stupidThe film employ juvenile sense humor comedy approach thats immature sickening The ending total idiotic rip make watching garbage waste time The deep message young white male victimized society fight commercialism beating st Wow man thats really deep Cue You dont get movie man Yeah I dont get movie What jokeThe whole premise behind Fight Club tiresome trite oh poor straight healthy young male And he victimized Fight Club movie produced sickening Hollywood greed machine funny thing maker film essentially preaching commercialization greed That really make sense I wonder many fat cat pot filled productionHeres tip young men really want fight greed commercialismand corporation GO TO COLLEGE major something interest I shocked I learned men US started REAL fight club movieBrad Pitt beating head clichéd anticommercialism ideal two hour idea rating Pitt Norton lukewarm best overrated The there always argument Its schizophrenic man Like statement somehow justifies idiocy Fight Club But hey I dont get F macho bull,Negative
95,I read Fight Club man film whatever mean Truth told little boy film messy scrappy clawing pseudophilosophical piece turgid nonsense lapped people see music video aesthetic crossed favourite actor churned contemporary Hollywood star system happens dabble meek philosophy bum nobody like one film find gimmicky pretence enthralling appealing quite interesting For rest u lecturing nonsense writer ought pen pencil word processor taken away The film entire thesis captured sequence fight club title store owner come shop basement question everyones After grief Durden beat eventually subdued blood soaked Durden slobbering The owner run suddenly attuned allowing club remain needed arrive point good fight description Thats thats need know right – rest nonsense highest orderThe film play facade postmodern trickery modern movie making gimmick thus rendering accessible fact expected swallow infantile babble difficult blank bummed nobody thug vandal whose life dank state never found particular field could excel pathetic The film David Finchers fourth churn worser piece cinematic drek life adolescent preening nonsense Fight Club The piece essentially one long flashback narrated Edward Nortons nameless character When first see gun mouth find area chock full explosive courtesy Brad Pitts Tyler Durden Norton initially IDs slave consumerism unexciting office worker come find solace fighting violence men organised fight ring whence title derivesBut Durden frightening character created thug vandal terrorist role model individual whose manic hair style cool looking shade extravagant dress sense sexual habit natural charisma paint positive characteristic individual ought anything Durden see saviour liberator army general lead troop encourages break shackle life someone free liberates via terror exemplified scene set convenience store car park threatens execute young store worker doesnt return education All lead sickening finale end carry highly romanticised emotionally heavy sensibility bomb go two people embraceThe film pen Jim Uhls way Chuck Palahniuks novel film Palahniuks inane babbling machine banal inane ranting raving argument film put across way nothing childish expositional tidbit behalf Pitts character The thing end owning sample In stark comparison Nortons grey suit blank shirtclad office booth based character one share screen time Durden dangerously vibrant explosion colour energy Later there reason hopping characteristic mannerism well restriction NortonPitt interaction open number problem separate place Earth one person know one item whereabouts human fat seemingly oblivious link itMake mistake film clawing ramblings someone serious issue In attempting wage war consumerism get plenty way product placement company Pepsi Apple Macintosh approach see world initially filtered psyche insomniac Nortons character support group false emotion help cure character named Marla Carter push back forefront Is need character Marlas presence open subplot problem suicidal ideation fling Durden entirely pointless After film realises presence futile piece meant relationship two lead men masculinity relationship men scrapping inane tangent run separate strandsThe whole thing empty headed crass sound underground fight ring escalating celebration pain violence thing grimy nasty tale terrorist group full misunderstood philistineinfused male In creating ugly film ugly people ugly view filtering way sporadic philosophy sociology accessible aesthetic MTVstyle appearance Fincher crafted text he certainly Its nonsense worst kind sort nonsense eye labelled something higher first appears addressing people society whats deemed menial job actually becoming someone ring battering bruising someone else answer life problem Its babble babble patronising disorganised sporadic order maddening dulling fauxintellectual piece nonsense,Negative
96,POSSIBLE SPOILERSLooking subject line many review I see phrase like pure genius brilliant work art This movie brilliant work art train wreck pure simple There many interesting idea introduced beginning film somehow fizzled along way The idea group men trying fill void left consumer society interesting Then Project Mayhem culttype operation none member think seems contradict theme set forward first hour movie The movie change intelligent satire standard actionsuspense flick little psychological suspense quirky romance thrown good measure Tyler Durden spouting philosophy whole way This movie good cinemetography editing quirky high shock value seems enough get people overlook inherent flaw I hope year road people able see movie truly movie could great somehow blew,Positive
97,Last night first time I ever watched movie One Facebook friend bought copy I never seen I knew movie cult following finally watching Im trying understand Maybe I watched several time itll grow I feeling I wont quite It wasnt bad It decent funny moment I liked Helena Bonham Carters character The middle half movie probably best went downhill fight club basically turned cult weird twist involving Brad Pitts characterEdward Norton star traveling automobile company employee suffers insomnia Hes known The Narrator visit support group see people suffer He eventually meet woman lot miserable named Marla Singer After apartment explodes call Tyler Durden man befriended plane They slowly start Fight Club guy meet beat If like movie supposed considered great might enjoy FIGHT CLUB,Positive
98,The self narrated story man accidentally start cult gang trying figure broken lifeI found I fascinated repulsed movie various point I think acting great twist ending done well However I find I confused sort message movie trying convey That darkness insider everyone trying claw way I suppose made ambiguous ending Edward Nortons character died By ending way Nortons character shielded weight action He basically back startedI see people love Im one,Negative
99,If I seen teenager I might liked better Unfortunately adult felt quite juvenileTheres type film try hard edgy cool come across insincere artificial It often work teenager lack comparisonI kinda feel like complaining utter objectification lack humanity one woman film character made Id probably much angrier film like came today certainly quality could actually harmfulIf nothing else Fight Club work cultural reference point Anyone meet vocal fan film quite likely fall certain category person,Positive
100,I went see friend Id heard good local IMAX theater le I went absolutely knowledge whatsoever Once I actually saw I realized one worst movie Ive ever seen Ive seen real stinker Id rather eyelid held open toothpick tied chair front screen showing back back Ed Wood marathonI cant think single thing I enjoyed Fight Club What plot place line beyond cringeworthy way preachy plot twist end manages veer way past range strange range bat crazyThe secret longing men beat basement blow building Who knew Much like fight there subtlety plot Yeah yeah materialism bad blah blah blah Did really need pounded skull almost hour If feel like youre rat race hate job THEN QUIT AND FIND SOMETHING TO DO THATS MORE WORTHWHILE TO YOUI could hardly believe Brad Pitt His performance Monkeys Seen far superior trashy flickIs Fincher incapable making movie doesnt look like lens sprayed Campbells beef broth The cinematography choppy there much I take random dude beating snot reasonThey used soap clean filmFrom star,Positive
101,The first time I saw Fight Club I despised I found message stupid contradictory hypocritical film preached violence yet violent recent film including The Matrix quite realistic Fight Club I saw television year later thought bit better quite horrible still didnt enjoy muchHowever I convinced buying DVD seeing rated th best film time IMDb Well Im happy report I found Fight Club utterly brilliant third viewing Since Ive seen handful time DVD get better time Brad Pitt give fantastic performance one coolest cinema icon time Tyler Durden whose name reference Travis Bickle Taxi Driver according something I read first name harsh last name simple softEdward Norton give Oscarworthy performance The Narrator Jack whose actual name isnt ever truly revealed Many people dont seem notice I wont go plot wont go deep analysis many people done well Suffice say IS violent movie I find style infectious David Finchers direction wonderful It brutal weird film sometimes bit pretentious clever good I wont lie say flawless I totally understand many critic bagged laborious dog initial release The British DVD includes mocking pamphlet filmmaker brag knew going great start I think bit masturbatory fact include critic negative review mockery humorous childish I understand might view Fight Club childish contradictory film After I used think thing However I really come love despite flaw I think Tyler Durden one absolute coolest character time Pitt play well scary Norton embodies Bored Working Repressed Everyman flawlessly Fincher great behind cameraAnd film message strike chord nowadays I watch bit contradictory violence really isnt needed Im going complain Ive never really cared terribly much violence film Im going start nowOverall one important film message missed lot people included back In year really good movie Fight Club probably best one alltime favorite filmsIts easy see might considered next Taxi Driver thirty year,Negative
102,There movie watch watch least twice order fully understand Fight Club one It complex strange story doesnt seem make much sense find thing everything turned upside point view change totallyIts good way make think many thing It show u people manipulated The plot either flawed complicated judge one viewing But I got feeling ending didnt work goodStill interesting experience,Negative
103,I believe moviewatching community divided three partsthe one love Fight Clubthe one hate unfortunate one yet experience itTo maintain neutral stance quite impossibleOnce credit roll may awe logicdefying piece celluloid may detest seemingly needle depiction bloodgore violenceI belong former category hencewhat follows eulogy reviewSo seen Isuggest first give watch come backThis movie live edgeit go beyondIt border bizarreIt quite literally venture headon bizarre refuse returnSimply putthis movie rock star generationThe plot revolves insomniac Edward Norton byproduct lifestyle obsessionHis life clichédbranded superficialone Starbucks Microsofts compensate complete void emotionHe get addicted support group various ailmentspouring heart complete strangersAmong group terminallyill people find solace making realize need outletIn Tyler Durden Brad Pitt protagonist find outlet find one alltime great movie charactersAnd team create Fight ClubIt fight feel lifea far cry desensitized world dwell inTo reveal anything beyond point would criminalBut throw light upon masterful adaptation Chuck Palahniuks book necessityDavid Finchers execution ooze style every frameEach scene brings innovation sheer delight start finishThe casting exemplary Edward Norton well Helena Bonham Carter quite integral role play part precise perfectionBut Pitts Tyler Durden zenith Fight ClubHis every word mannerism cultSo Hats Brad PittAs bad Achilles Troy may Tyler isby immortalBeyond tight screenplayimpactful dialogseffective light sounda wacky score stellar direction catapult timeless classicThe essence Fight Club lie sadomasochistic themeIt show u beauty anarchy symmetry insanityIt asks u let goto reject consumerism pull deluge brandconsciousnesswithout ever sounding preachyIt asks u aliveBloodsplattered fight may subtle way telling u How much know havent fight Tyleristic way saying itI Jacks mesmerized head bowed admiration,Negative
104,May Spoil WARNING I seen theater came I payed dollar see The second found The Secret I wanted beat someone right No plot Plot dont make since If basement full guy watch someone abuse self And thought interesting I would exit fast I wright ten line order able warn I dont even think qualifies movie There plot story I see making movie Therese point nonself shot gun blow van window gun real bullet real window blow imagined,Negative
105,A wonderful film The depth character structure close perfection It beckons question reality fantasy mental illness collide could u withstand torment within It much horror film dark humor Brilliantly written acted must see true cinephile,Positive
106,Mindbending rebellious ride Fight Club Heres opinionated take cult classicFight Club gritty thoughtprovoking movie pack powerful punch Brad Pitt Edward Norton explosive duo delivering exceptional performance stick long credit rollNorton play insomniac office worker who disillusioned mundane existence Enter Tyler Durden portrayed Pitt charismatic anarchistic soap salesman challenge everything protagonist know life Together form underground fight club way break free society constraintsWhat start testosteronefueled outlet frustration quickly morphs something much deeper The movie delf theme identity consumerism human desire break away confines modern life Its dark twisted exploration masculinity rebellion human psycheFight Club raw unapologetic thoughtfully chaotic Its physical fight internal struggle search meaning world often feel empty superficialThe plot take unexpected turn leave questioning reality Its kind movie demand multiple viewing fully grasp brillianceAside thoughtprovoking theme Fight Club known iconic quote stylish direction David Fincher killer soundtrack perfectly complement film edgy atmosphereNow warned Fight Club isnt typical Hollywood fare Its bold daring itll challenge perception But youre willing embrace unorthodox brilliance youre cinematic experience thats unlike anything else thereSo youre dark mindtwisting journey thatll leave questioning society Fight Club absolute mustwatch Just remember first rule Fight Club talk Fight Club Enjoy,Neutral
107,Despite clever crafting film basically complainfest poor upperclass privileged white male blaming woe Ikea Is extent selfproclaimed victimization taking American cultureDisturbingly intellectual movie amorality pass guise reason central character logic rage subsequent violent decision poor young white businessman who educated well raised upper middle class lifestyle benefit really sort victim retail store Is really proving coherent point blow something Its even upsetting think seeing take film logic realityis point movie say American commercial freedom SHOULD attackedWith sexification glamorizing violence poorme ranting consumer product rather taking responsibility one commercialism participation hard find redeemable netsum movieEd Norton always terrific Brad Pitt good role And I much appreciate filmmaker talent I wish would use something thoughtful,Negative
108,Also one worst film time Are sure Ed Wood dead I swear must written cast directed major turkey If people claim understand film merely IQ I even read one critique someone watch bomb every week Talk life There half hour episode Alfred Hitchcocks series plot time better As acting well I couldnt find anyone Ed Norton one worst actor alive today Pitt shouldnt surprised Meatloaf person even trying saddled incredibly moronic script written year old,Negative
109,Fight Club like Shrek And Shrek like onion And onion layer Therefore Fight Club layer Many Because I feel movie need repeat viewing order appreciate moreFight Club make interesting relatable statement current consumerdriven materialistic society gotten worse since film release Very stylish sophisticated film feature hilarious inventive way breaking fourth wall hitting subliminal message The famous twist ending remains one wackiest recent memory performance across part perfectIts one movie notice something new time see whether split second shot dong single line dialogue make ponder emptiness existence The cinematography outstanding really add nihilistic tone movie Overall film great many thing manliness materialism generation X Ys place world life little irony oddity western civilisation course fighting But cant talk thatBest Scene Hmmm picking one difficult I felt film flowed way didnt feel like movie one scene follows another instead worked whole Ill pick part Edward Norton beat crap blame bos,Negative
110,Looks like Im going breaking first two rule Fight Club This hard film talk without also talking fandom movie This movie legion Film Dude Bros base whole personality film There odd irony film Tyler Durden spread philosophy around America put together large cult In real world movie Fight Club likewise spread philosophy around America got large cult followingNow like piece art multiple interpretation theme one could gather movie But people Tyler Durdan Narrator hero They role model David Finchers film character Some people might read think Im moron reached enlightenmentNow dont misunderstand I still think good movie Im setting destroy something beautiful I know Im special Im saying anything new film It welldirected tightly written truly unique picture Honestly I surprised funny I know isnt main feature really funny moment I think people believe Tyler Trust insane intolerableI watched film sort homework assignment I dreamed With highly ranked IMDbs list I ask What get Is making happy I dont understand,Positive
111,There many little thing enjoyThe airport car owner joyful moment I forgotIts different watch relationship knowing know Her attachmentIm excited see Lou againBlockbuster EquivalentNot MacsOh man Im gon na get shovel hilariousLead salad sound unhealthy Strange listed drama genre,Positive
112,This film classic come disturbed yet brilliant mind The acting flawless soundtrack amazing there one thing wrong I particularly like depicts paradoxical hollowbutdeep quality neopunklike urge edgy nonsensical extent come real place Its everything supposed Project Mayhem rite passage every teenager need see utterly revolutionary point Brilliant,Positive
113,When I first saw Fight Club I sitting dumbfounded minute ended title went This pure masterpiece Everything movie perfect creates whole ideal picture THE CAST I adore admire Edward Norton Brad Pitt Helena Bonham Carter The colour light The image vision city inflames creates constant tension Emotions mental state narrator feeling condition experience especially beginning scene I felt bone Worth multiple rewatching notice new thing detail every time Final scene brings goosebump David Fincher genius,Positive
114,pretty much aspect doesnt totally disappoint cinematography basically elaboration set design Seven Even soundtrack lukewarm sound horribly dated brother someone Norton kind actor either watch I havent totally decided yet Bonham Carter still delivers phoney stateside accent Woody Allen obviously hasnt helped Pitt look good eye eye hotel room sequence Norton anyone claim see good actor either lying deluded guy look good cropped hair Other looking film made awkward teenage boy cant watch anyway cause mostly rated Its slightly older awkward boy sadly get see end slobbering writing rave review A little rubbish go long way daysHaving appreciated The Game especially Seven Id like think Fincher presented job done got away Lets see happens next,Positive
115,Fight Club one film always hear college university hailed sort stick man rebellion story pretentious meaning apparently need analyzed great depth point I cant start conversation film without hearing Fight Club come least Pseudointellectuals pervert frat boy emos get obsessed one like moth flame Of course would spoiled coddled secure society demographic enjoy Fight Club say speaks much hurt anger apparently experience daytoday basis Im sure theyd change tune perhaps value humanity theyd grown earlier era thats getting rather offtopicFight Club terrible film It interesting character decent plot follows original book well The soundtrack dated theme dated dialogue vulgar simply sake vulgar entire thing whole trying way hard appeal certain type entitled selfabsorbed immature Generation X Millennial crowd although really I think film subjective enjoyed anyone Fight Club offensive every sense word disgustingly crass time weird overly long yet I still liked I think incredibly overrated I dont think viewer really seem grasp full idea trying put thereThe film le nihilistic portrayal young man rebelling modern corporate capitalism society general forming underground fight club SPOILER ALERT imaginary friend alterego Tyler Durden Durden character time embodiment everything bad wasteful annoying volatile cruel narcissist utterly pointless albeit intellectual main character putting world attitude Anarchy rebellion aftermath remains one biggest theme Fight Club alongside entertaining comedy However many viewer film pick vulgar oneliners woman masturbation sex heavy violence Tylers selfish view human exist please care others world everything everyone game played Viewers Fight Club Ive noticed retain idea show emotion compassion pity sadness kindness youre overly sensitive baby Real men cause chaos sex constantly swear mouth go way offend others dont give damn anyone else And naturally main character grows matures slightly end people find confusing Basically main character thought knew cruel ugly world bored kid hypocrite In fact majority young adult hypocrite think world revolves around view I way I age I went propollution phase I littered purpose refused recycle Why Just stir trouble I went goth phase I wore black lipstick thick black eye makeup make panda bear green envy Why Just shock value tick teacher I went emo phase cutting arm plastic cutlery dying hair black pink streak listening depressing music whining depressed popular blonde cheerleader sitting desk next mine really WAS suicidal went totally unnoticed Why Because I wrapped teenage angst garbage bother helping anyone anything else I wanted attention I wanted noticed looking back year later I realize insignificant All teenager dumb I never come across intelligent teenager Ive come across many intellectual teenager intelligent one Durden exactly figure teenager teenage guy college guy especially emulateOkay thats really getting repetitive Like film Donnie Darko A Clockwork Orange I think theme chaos nihilism anarchy important Fight Club overrated How high rating film like The Killing Fields Threads Ill never understand Reviewers keep raving aesthetic depth deep many film ANY film social commentary considered deep Fight Club I think hit world right time plus making comeback many nostalgic hipster definitely continue highly regarded many year come necessarily bad thing yet Fight Club share exactly world Young adult jerk Have I missed vital bit info make Fight Club popular beloved,Negative
116,Back I much happy world go see Brad Pitt movie So I watched Im alone And I pleased experience As good film leaf shaken stirred It awakens inside rage hero story couldnt suppress anymoreAlthough action fan I didnt find violence gratuitous sickening nudity excessive special effect gimmicky The twist end brilliant extremely valid final scene prescient timeless multiple level Slice way like conformist office crowd middle class afraid power never fail construct prison ourselvesI deducted star final cut edited vigorously there least minute worth dead weight And also naturally stunning usually memorable Helena BonhamCarter hung looking ugly sounding American vehicle otherwise prominent character add nearly zero depth nuance development story Given role narrator mirrorcumdoppelgänger simply fizzle,Positive
117,I really didnt enjoy film I fall target group male Id give thisThere seems belief anyone doesnt enjoy either thick violence especially doesnt get message behind Well none apply meIn flawed film I understand aa group young men rebelling Borgeousie consumerism society bone man seeing totally dissatisfied life mind try change thing cpeople stopping watch Cornelius fight voyeurism human nature film make deliberate attempt make viewer feel guilty voyeur Ill come laterYou take pick really whatever way I still find crap Any film Shawshank Redmeption excepted concern one man anything generally creates emotion boredom The whole tagline film make want puke one year old man journey selfdiscoverySo Are supposed sympathise Norton Im sorry I sympathy film people dying who family killed John Hurt triumphing cancer Champions Tom Hanks Saving Private Ryan thousand others Even Norton actually brilliant American History X In nd half I sympathise life found withBut I find saying I equally awful American Beauty Just bloke fed midlife crisis supposed feel Oh diddums The film premise worked brilliantly Its Wonderful Life James Stewart He crisis justifyably never resorted level stooped hereThat might seem weak point Its come I cant put finger exactly Wonderful Life far superior Fight Club tackling midlife crisis far extreme getId also question whether voyers For every moron slows motorway look accident side there cant believe stupidity itThere countless flaw The scene prior car crash wouldnt worked Who Norton talking passenger Where acquire knowledge soap Would people watched bloke fighting much Ok maybe one answer I couldnt find themI think really enjoy film clicked empathised main character I feel bit sorry It would however account popularity thing marriage guidance councillor drug footballer agent even degree religion becomes absolutely fanatical life revolves around itMaybe Im fortunate many people seem unable get little problem life throw without help kind anymore like inventing friend one thingI know plenty people like intelligent Ive problem people enjoy Arty deep film psychological meaning I dont But failing understand Just merely connecting character suffer problem like midlife crisis non deserving reasonsOn top slow film,Negative
118,Its almost year still amazing movie insane ending Anyone seen definitely give try,Positive
119,A flop everywherecritics talk though classici thought pitsEdward Norton voice drove mad hate voiceoverswas point moviesome weirdo may get crazy idea ita movie bad deserves praisea case emperor new clothes ever saw one,Negative
120,Rating This movie fighting It gritty detailoriented film escapism consumerist mindset facing problem head The twist Tyler narrator insane even though broke scene like anytime Tyler narrator two distinct thing time Tyler sex narrator shutting power Tyler dragging near end movie clearly seen camera thats impossible You suspend youre disbelief bit overall well done conveyed message clearly It didnt make sense tyler would boy cut ball never actually happened doesnt matter,Negative
121,As earlier comment stated first rds movie truly intriguing The visuals slick BlademeetsMortalKombat kinda way instead focusing delivering irony sarcasm black joke flawless direction edition even hi tech effect like credit rollEdward Norton play narrator social satire presented first half flic simply put awesome movie doesnt seem take seriously althought serious One plus point fact narrator doesnt step soapbox preach condemn justnarrates observesHowever first half movie suddenly dulls painfully slows pace begun For starter attention detail lower dialogue start dumb get anything happen matter far fetched feeling plain simple get silly As th sense another recent movie shocking twist near end But instead leaving gasping air like former seems contrived forced doesnt fit All Fight Club bad movie I really wished ended good started,Neutral
122,I still think I shouldnt like film That I shouldnt allow like film Its worldview ugly nihilistic corrupted actually fear moral darken looking Sure justify telling actually telling u give hate believe life meaning realize corporate puppet And yes film actually carry warning undertone showing people like Tyler Durden correctIts hard tell youre watching actual film though Because honesty Brad Pitt good film magnificently charismatic wonder people actually went started fight club No wonder Tyler Durden voted best movie character time numerous time The man good role And distinct possibility society would better werent honesty Tyler Durden everything shouldnt beAnd thats make film damn good It ugly underbelly human condition modern society Its nice look wont make feel better damn isnt one heck trip experience This movie convinced saying Gods truth choice pulled even momentarilyBut message Its great movie even without story character Tyler Durden The style art direction camera work rest cast music dirty joke plot twist sheer ugly charisma You might never like film matter often force watch never deny brilliant piece film making And I think everyone see least Because end spectrum Youll appreciate life youve realized work fiction youre living,Positive
123,If ever Film CLASS ALL OF ITS OWN FIGHT CLUB IS ITBut diving FIRST Let u FOCUS Title´s Content ContextSurrender FIGHT CLUBA NoHoldsBarred Knockout If havent seen itSee If HAVESee In week release either critic plain DIDNT GET IT Or shrewdly pretended Considering Fight Clubs tauntingly inyourface Political INcorrectness easy see critic opted play safeHere film almost cry HATE ME DESPISE ME An occasional film step gingerly toe audience sensibility Fight Club drop kick themYet relentlessly quirkily original pathologically tantalizingyou LOVE itand HATE Make mistake however Fight Club always show audience ample respect It never pontificate proselytizes would typical formulaic Hollywood filmThe term Ride employed freely movie today become rather meaningless Fight Club reinvents word Literally DNA Rollercoaster opening Credits Accompanied DUST BROTHERS musical equivalent sustained amylnitrate rush metaphoric wailing Were still men castrated testicular cancer victim mesmerizing deftly parlayed way screen chemistry NortonBonham CarterPitt sharply focused pointlessness cruisecontrol hyperconsumeristic lifestylesFIGHT CLUB synthesizes pentup frustration selfinduced reluctance communicate RULE You DO NOT talk Fight Club This Ladies Gentlemen one RIDE CERTAINLY DO NOT want missENJOY DISFRUTELAAny comment question observation English en Español welcome,Negative
124,Way overrated movie Cant believe nr best movie,Negative
